Date,Account,Category,Amount,Type,Memo
2026-05-01,미래에셋네이버,급여,3500000,Income,5월 급여
2026-05-03,토스모임계좌,식비,15000,Expense,저녁 삼겹살
2026-05-05,쿠팡와우카드,쇼핑,28000,Expense,쿠팡 로켓배송 생필품
2026-05-08,토스모임계좌,교통비,55000,Expense,지하철 및 버스 요금
2026-05-10,토스모임카드,카페/디저트,6800,Expense,스타벅스 아메리카노
2026-05-12,미래에셋네이버,기타 수입,50000,Income,중고거래 판매
2026-05-15,우리은행네이버,주거비,450000,Expense,월세 납부
2026-05-18,쿠팡와우카드,구독료,14900,Expense,넷플릭스 구독
2026-05-20,토스모임계좌,의료/건강,12000,Expense,약국 감기약
2026-05-22,토스모임카드,문화생활,24000,Expense,영화 관람
2026-05-25,하나증권,이자,3500,Income,CMA 이자 입금
2026-05-26,쿠팡와우카드,옷/의류,89000,Expense,여름 반팔 티셔츠
2026-05-28,토스모임계좌,교육비,120000,Expense,온라인 강의 수강료
2026-05-30,기타현금,생활용품,8500,Expense,다이소 청소용품
2026-06-01,미래에셋네이버,급여,3500000,Income,6월 급여
2026-06-02,쿠팡와우카드,식비,45000,Expense,마트 장보기
